generation 0: , ind 0: 0.617015, ind 1: 0.58295,avg: ,0.599983,ind: ,0,fitness: ,0.617015,individuals: ,0,1,
generation 1: , ind 0: 0.616207, ind 1: 0.769224,avg: ,0.692716,ind: ,3,fitness: ,0.769224,individuals: ,2,3,
generation 2: , ind 0: 0.622056, ind 1: 0.738569,avg: ,0.680313,ind: ,5,fitness: ,0.738569,individuals: ,4,5,
generation 3: , ind 0: 0.617953, ind 1: 0.582009,avg: ,0.599981,ind: ,6,fitness: ,0.617953,individuals: ,6,7,
generation 4: , ind 0: 0.618137, ind 1: 0.664813,avg: ,0.641475,ind: ,9,fitness: ,0.664813,individuals: ,8,9,
generation 5: , ind 0: 0.622017, ind 1: 0.7429,avg: ,0.682459,ind: ,11,fitness: ,0.7429,individuals: ,10,11,
generation 6: , ind 0: 0.616482, ind 1: 0.543085,avg: ,0.579783,ind: ,12,fitness: ,0.616482,individuals: ,12,13,
generation 7: , ind 0: 0.617986, ind 1: 0.665209,avg: ,0.641598,ind: ,15,fitness: ,0.665209,individuals: ,14,15,
generation 8: , ind 0: 0.620587, ind 1: 0.742598,avg: ,0.681592,ind: ,17,fitness: ,0.742598,individuals: ,16,17,
generation 9: , ind 0: 0.617633, ind 1: 0.582553,avg: ,0.600093,ind: ,18,fitness: ,0.617633,individuals: ,18,19,
generation 10: , ind 0: 0.615935, ind 1: 0.71187,avg: ,0.663902,ind: ,21,fitness: ,0.71187,individuals: ,20,21,
generation 11: , ind 0: 0.622086, ind 1: 0.738391,avg: ,0.680238,ind: ,23,fitness: ,0.738391,individuals: ,22,23,
generation 12: , ind 0: 0.616689, ind 1: 0.537407,avg: ,0.577048,ind: ,24,fitness: ,0.616689,individuals: ,24,25,
generation 13: , ind 0: 0.617012, ind 1: 0.662343,avg: ,0.639678,ind: ,27,fitness: ,0.662343,individuals: ,26,27,
generation 14: , ind 0: 0.622093, ind 1: 0.741212,avg: ,0.681653,ind: ,29,fitness: ,0.741212,individuals: ,28,29,
generation 15: , ind 0: 0.614438, ind 1: 0.541177,avg: ,0.577808,ind: ,30,fitness: ,0.614438,individuals: ,30,31,
generation 16: , ind 0: 0.617587, ind 1: 0.723171,avg: ,0.670379,ind: ,33,fitness: ,0.723171,individuals: ,32,33,
generation 17: , ind 0: 0.620846, ind 1: 0.735696,avg: ,0.678271,ind: ,35,fitness: ,0.735696,individuals: ,34,35,
generation 18: , ind 0: 0.618089, ind 1: 0.561004,avg: ,0.589547,ind: ,36,fitness: ,0.618089,individuals: ,36,37,
generation 19: , ind 0: 0.616827, ind 1: 0.661851,avg: ,0.639339,ind: ,39,fitness: ,0.661851,individuals: ,38,39,
generation 20: , ind 0: 0.622244, ind 1: 0.741133,avg: ,0.681689,ind: ,41,fitness: ,0.741133,individuals: ,40,41,
generation 21: , ind 0: 0.616056, ind 1: 0.545762,avg: ,0.580909,ind: ,42,fitness: ,0.616057,individuals: ,42,43,
generation 22: , ind 0: 0.616016, ind 1: 0.737154,avg: ,0.676585,ind: ,45,fitness: ,0.737154,individuals: ,44,45,
generation 23: , ind 0: 0.621048, ind 1: 0.770753,avg: ,0.695901,ind: ,47,fitness: ,0.770753,individuals: ,46,47,
generation 24: , ind 0: 0.617448, ind 1: 0.582929,avg: ,0.600189,ind: ,48,fitness: ,0.617448,individuals: ,48,49,
generation 25: , ind 0: 0.616404, ind 1: 0.668669,avg: ,0.642537,ind: ,51,fitness: ,0.668669,individuals: ,50,51,
generation 26: , ind 0: 0.619775, ind 1: 0.740772,avg: ,0.680273,ind: ,53,fitness: ,0.740772,individuals: ,52,53,
generation 27: , ind 0: 0.617706, ind 1: 0.557659,avg: ,0.587683,ind: ,54,fitness: ,0.617706,individuals: ,54,55,
generation 28: , ind 0: 0.617008, ind 1: 0.725676,avg: ,0.671342,ind: ,57,fitness: ,0.725676,individuals: ,56,57,
generation 29: , ind 0: 0.621332, ind 1: 0.664946,avg: ,0.643139,ind: ,59,fitness: ,0.664946,individuals: ,58,59,
generation 30: , ind 0: 0.61616, ind 1: 0.58173,avg: ,0.598945,ind: ,60,fitness: ,0.61616,individuals: ,60,61,
generation 31: , ind 0: 0.616095, ind 1: 0.666446,avg: ,0.64127,ind: ,63,fitness: ,0.666446,individuals: ,62,63,
generation 32: , ind 0: 0.621745, ind 1: 0.664078,avg: ,0.642912,ind: ,65,fitness: ,0.664078,individuals: ,64,65,
generation 33: , ind 0: 0.616562, ind 1: 0.533336,avg: ,0.574949,ind: ,66,fitness: ,0.616562,individuals: ,66,67,
generation 34: , ind 0: 0.616918, ind 1: 0.664773,avg: ,0.640845,ind: ,69,fitness: ,0.664773,individuals: ,68,69,
generation 35: , ind 0: 0.622808, ind 1: 0.66669,avg: ,0.644749,ind: ,71,fitness: ,0.66669,individuals: ,70,71,
generation 36: , ind 0: 0.616842, ind 1: 0.537657,avg: ,0.577249,ind: ,72,fitness: ,0.616842,individuals: ,72,73,
generation 37: , ind 0: 0.616566, ind 1: 0.776846,avg: ,0.696706,ind: ,75,fitness: ,0.776846,individuals: ,74,75,
generation 38: , ind 0: 0.622824, ind 1: 0.710962,avg: ,0.666893,ind: ,77,fitness: ,0.710962,individuals: ,76,77,
generation 39: , ind 0: 0.616804, ind 1: 0.533012,avg: ,0.574908,ind: ,78,fitness: ,0.616804,individuals: ,78,79,
generation 40: , ind 0: 0.616248, ind 1: 0.732792,avg: ,0.67452,ind: ,81,fitness: ,0.732792,individuals: ,80,81,
